zone_from,zone_to,travel_time
"WC3","QC5","14"
"WC3","QC6","15"
"WC3","SC1","9"
"WC3","SC2","10"
"WC3","SC3","11"
"WC3","SC4","12"
"WC3","SC5","13"
"WC3","SYD","8"
"WC3","TC1","12"
"WC3","VC1","9"
"WC3","VC2","10"
"WC3","VC3","11"
"WC3","WC1","4"
"WC3","WC2","5"
"WC3","WC3","6"
"WC3","WC4","7"
"WC3","WC5","8"
"WC4","ADL","9"
"WC4","BNE","10"
"WC4","DRW","12"
"WC4","HBA","12"
"WC4","MEL","9"
"WC4","NC1","10"
"WC4","NC2","11"
"WC4","NC3","12"
"WC4","NC4","13"
"WC4","NC5","14"
"WC4","NC6","15"
"WC4","NT1","13"
"WC4","NT2","14"
